season,player_id,pa,offense_runs,total_innings,field_innings,defense_runs
2023,663697,529,4.051319251993219,1028.0118532769284,796.6666666666667,-15.001429192885812
2022,641796,46,-1.5443608665747142,213.27924314689022,192.33333333333331,-6.113559618763087
2022,623993,647,19.579724141042472,1303.4279423507503,753.0,-17.67946054373046
2022,578428,467,-5.781864758468738,999.3677545338771,890.6666666666667,-7.009357632670847
2023,668715,665,19.342045768680997,1468.529954043112,1389.0,-25.925278989291215
2025,607732,129,-19.079101635092343,302.01371033548753,237.33333333333331,-0.20336969763697743
2024,682928,602,13.00567514452014,1182.6064359875877,1093.0,13.025607831048
2024,542194,147,-4.472700805370744,368.2009744760517,311.66666666666663,3.803477834473253
2024,543305,63,-5.003444232830933,149.3502936134515,100.33333333333334,-3.5074303902378468
2022,641355,550,-6.007284644482443,1240.984496124031,1235.3333333333335,-2.7133903317915085
2022,543760,724,12.012932172896656,1416.6166666666668,1393.6666666666665,22.00866625997704
2021,663624,573,10.011105525536893,1177.8791462673012,814.6666666666667,-21.277645421040116
2021,425877,465,-14.73485289084202,1012.4756097560975,1005.9999999999999,13.772546593504186
2021,455117,426,-20.1932142454568,974.9310464789684,854.0,9.171985695530575
2021,666969,609,5.291510093630961,1318.6173659828833,1207.3333333333333,18.51077262612585
2022,665155,85,4.634638176760005,209.93023745223232,173.33333333333331,0.9091501127787265
2025,666139,435,-6.58092614965874,925.827708090866,888.3333333333333,-17.141922386841816
2023,669707,209,8.037525904983802,482.6966386554622,477.99999999999994,12.452577874965144
2021,670541,593,24.718817228253513,1195.8080285114384,326.66666666666663,-17.32641269863846
2022,663993,645,34.74635648852863,1362.9620361645802,1297.6666666666667,-13.28364752524599
2024,593934,95,-2.824549795202189,199.14859384294593,113.66666666666666,-2.870455056918364
2025,545121,121,-2.4410207321710296,282.93336980099525,242.00000000000003,0.5609126652260527
2025,592450,679,77.35681860309694,1322.3852794867644,805.0,-3.253776378988604
2022,645444,124,-7.666279318603541,308.9995454451949,229.0,1.906695210156398
2023,595879,547,-20.029697373101044,1151.5407751950818,1051.0,9.505224641525968
2022,669016,461,-2.110436902589572,973.1618131420611,897.6666666666666,15.02618586123034
2024,681082,571,-5.1877339289201245,1310.129507001458,1286.3333333333333,15.085700879882419
2024,682985,582,31.24836709179984,1122.0710951374645,831.3333333333333,-4.493632092940198
2024,606192,652,28.878572927239354,1314.1078227564644,1256.666666666667,-19.040903524557322
2022,664702,596,-15.450729921970968,1339.6666666666665,1333.6666666666665,18.57332552633862
2023,678246,304,-4.9469050716026715,718.5589430894308,714.3333333333333,-11.006681210800803
