steal,inning,half,batting_score_diff,outs,hold_we,success_we,caught_we,we_break_even_success,elite_90_we_gain,primary_success_probability,max_replacement_cost_wpa,adverse_battery_success_probability,adverse_battery_we_gain,re_break_even_success,elite_90_run_gain,max_replacement_cost_ubr_runs,max_replacement_cost_war,worth_before_replacement_cost
1B_to_2B,3,top,-2,1,0.243081,0.262050,0.190050,0.736551,0.011768,0.931467,0.014035,0.900000,0.011768,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,-2,2,0.206538,0.218425,0.177280,0.711110,0.007772,0.931467,0.009067,0.900000,0.007772,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,-1,0,0.410713,0.439682,0.334359,0.724949,0.018437,0.931467,0.021751,0.900000,0.018437,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,-1,1,0.367069,0.385840,0.314256,0.737772,0.011613,0.931467,0.013865,0.900000,0.011613,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,-1,2,0.330983,0.342708,0.301456,0.715765,0.007600,0.931467,0.008898,0.900000,0.007600,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,0,0,0.529099,0.560591,0.457257,0.695240,0.021159,0.931467,0.024410,0.900000,0.021159,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,0,1,0.487903,0.508850,0.437276,0.707342,0.013789,0.931467,0.016042,0.900000,0.013789,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,0,2,0.453134,0.466546,0.423995,0.684817,0.009156,0.931467,0.010496,0.900000,0.009156,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,1,0,0.648841,0.673464,0.592141,0.697225,0.016490,0.931467,0.019050,0.900000,0.016490,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,1,1,0.616433,0.632787,0.576392,0.710009,0.010715,0.931467,0.012489,0.900000,0.010715,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,1,2,0.588981,0.599430,0.565948,0.687931,0.007101,0.931467,0.008154,0.900000,0.007101,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,2,0,0.742681,0.762427,0.697547,0.695650,0.013258,0.931467,0.015300,0.900000,0.013258,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,2,1,0.717148,0.730298,0.684854,0.710633,0.008606,0.931467,0.010036,0.900000,0.008606,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,2,2,0.695190,0.703572,0.676370,0.691839,0.005662,0.931467,0.006518,0.900000,0.005662,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,3,0,0.816234,0.833810,0.782340,0.658523,0.012429,0.931467,0.014049,0.900000,0.012429,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,3,1,0.796864,0.808867,0.772163,0.672991,0.008332,0.931467,0.009488,0.900000,0.008332,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,3,2,0.779909,0.787754,0.765022,0.654879,0.005572,0.931467,0.006287,0.900000,0.005572,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,-3,0,0.267980,0.290244,0.200551,0.751776,0.013295,0.931467,0.016117,0.900000,0.013295,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,-3,1,0.228669,0.242622,0.184013,0.761933,0.008092,0.931467,0.009936,0.900000,0.008092,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,-3,2,0.197756,0.206300,0.174059,0.734979,0.005320,0.931467,0.006334,0.900000,0.005320,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,-2,0,0.370090,0.396421,0.293392,0.744434,0.016028,0.931467,0.019270,0.900000,0.016028,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,-2,1,0.326121,0.342815,0.273988,0.757456,0.009811,0.931467,0.011977,0.900000,0.009811,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,-2,2,0.290471,0.300706,0.262038,0.735327,0.006368,0.931467,0.007585,0.900000,0.006368,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,-1,0,0.484559,0.518132,0.404110,0.705560,0.022170,0.931467,0.025759,0.900000,0.022170,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,-1,1,0.438403,0.460536,0.382202,0.717451,0.014300,0.931467,0.016765,0.900000,0.014300,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,-1,2,0.399785,0.413858,0.367882,0.693900,0.009476,0.931467,0.010922,0.900000,0.009476,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,0,0,0.616132,0.644196,0.547294,0.710390,0.018374,0.931467,0.021423,0.900000,0.018374,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,0,1,0.577260,0.595724,0.528446,0.725558,0.011736,0.931467,0.013853,0.900000,0.011736,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,0,2,0.544161,0.555791,0.516101,0.706976,0.007661,0.931467,0.008910,0.900000,0.007661,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,1,0,0.724116,0.753661,0.667327,0.657784,0.020911,0.931467,0.023628,0.900000,0.020911,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,1,1,0.691479,0.711649,0.650334,0.671042,0.014039,0.931467,0.015968,0.900000,0.014039,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,1,2,0.663076,0.676287,0.638447,0.650858,0.009428,0.931467,0.010618,0.900000,0.009428,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,2,0,0.827750,0.841836,0.795103,0.698587,0.009413,0.931467,0.010883,0.900000,0.009413,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,2,1,0.809360,0.818727,0.785937,0.714358,0.006087,0.931467,0.007120,0.900000,0.006087,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,2,2,0.793510,0.799457,0.779812,0.697256,0.003983,0.931467,0.004601,0.900000,0.003983,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,bottom,3,0,0.879952,0.893960,0.855659,0.634251,0.010179,0.931467,0.011383,0.900000,0.010179,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,bottom,3,1,0.865750,0.875430,0.848131,0.645409,0.006950,0.931467,0.007809,0.900000,0.006950,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,bottom,3,2,0.853410,0.859844,0.842730,0.624066,0.004722,0.931467,0.005261,0.900000,0.004722,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,-3,0,0.188680,0.210210,0.121751,0.756613,0.012684,0.931467,0.015468,0.900000,0.012684,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,-3,1,0.149593,0.162999,0.105512,0.766801,0.007657,0.931467,0.009466,0.900000,0.007657,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,-3,2,0.119069,0.127235,0.095821,0.740052,0.005025,0.931467,0.006013,0.900000,0.005025,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,-2,0,0.289047,0.315924,0.211326,0.743046,0.016417,0.931467,0.019709,0.900000,0.016417,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,-2,1,0.244186,0.261234,0.191748,0.754649,0.010100,0.931467,0.012286,0.900000,0.010100,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,-2,2,0.208116,0.218616,0.179724,0.729998,0.006612,0.931467,0.007835,0.900000,0.006612,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,-1,0,0.407138,0.438399,0.324124,0.726442,0.019833,0.931467,0.023429,0.900000,0.019833,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,-1,1,0.359873,0.380109,0.302249,0.740094,0.012450,0.931467,0.014900,0.900000,0.012450,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,-1,2,0.320620,0.333224,0.288322,0.719298,0.008114,0.931467,0.009527,0.900000,0.008114,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,0,0,0.534513,0.570209,0.456804,0.685228,0.024356,0.931467,0.027924,0.900000,0.024356,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,0,1,0.489893,0.513816,0.434787,0.697288,0.016020,0.931467,0.018507,0.900000,0.016020,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,0,2,0.451973,0.467398,0.419950,0.674902,0.010681,0.931467,0.012173,0.900000,0.010681,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,1,0,0.667388,0.691832,0.610098,0.700932,0.016270,0.931467,0.018843,0.900000,0.016270,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,1,1,0.634781,0.650979,0.594238,0.714536,0.010523,0.931467,0.012309,0.900000,0.010523,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,1,2,0.607102,0.617407,0.583747,0.693836,0.006939,0.931467,0.007998,0.900000,0.006939,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,2,0,0.760580,0.782214,0.714749,0.679317,0.014888,0.931467,0.017010,0.900000,0.014888,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,2,1,0.734429,0.749002,0.701534,0.692994,0.009826,0.931467,0.011320,0.900000,0.009826,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,2,2,0.711905,0.721316,0.692520,0.673179,0.006532,0.931467,0.007438,0.900000,0.006532,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,top,3,0,0.838898,0.854513,0.808017,0.664160,0.010966,0.931467,0.012428,0.900000,0.010966,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,top,3,1,0.820959,0.831558,0.798988,0.674572,0.007342,0.931467,0.008367,0.900000,0.007342,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,top,3,2,0.805621,0.812567,0.792780,0.648964,0.004967,0.931467,0.005590,0.900000,0.004967,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,bottom,-3,0,0.253033,0.275298,0.183902,0.756388,0.013126,0.931467,0.016001,0.900000,0.013126,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,bottom,-3,1,0.212409,0.226255,0.167237,0.765402,0.007944,0.931467,0.009801,0.900000,0.007944,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,4,bottom,-3,2,0.180911,0.189377,0.157363,0.735545,0.005265,0.931467,0.006272,0.900000,0.005265,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,4,bottom,-2,0,0.358511,0.383392,0.276232,0.767811,0.014165,0.931467,0.017537,0.900000,0.014165,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,4,bottom,-2,1,0.311720,0.327029,0.256149,0.784019,0.008221,0.931467,0.010451,0.900000,0.008221,0.724120,0.104202,0.122845,0.012540,True
