year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2021,624513,1.678,51.56738942633475,28.789,29.2,0,1,1,0
2021,624513,NA,43.94799077134758,34.378,27.4,0,1,0,0
2021,624513,NA,42.74624855378506,38.886,26.1,0,1,0,0
2021,624513,1.499,41.02686031178094,36.446,29.9,0,1,1,0
2021,624513,1.44,44.759885834918855,33.101,27,0,1,1,0
2021,624513,1.57,48.10765700454534,30.907,27.7,0,1,1,0
2021,624513,1.53,51.03458544660527,27.009,30.2,0,1,1,0
2021,624513,1.546,43.08100204132228,33.683,27.6,0,1,1,0
2021,641470,1.603,49.25892313069986,30.071,28.8,0,1,1,0
2021,641470,1.586,51.93250026506694,29.479,28.1,0,1,1,0
2021,641470,NA,48.13123299186163,30.541,27.9,0,1,0,0
2021,641470,NA,46.60553077712768,31.156,28.8,0,1,0,0
2021,641470,NA,47.7143024004988,31.576,28.8,0,1,0,0
2021,641598,1.606,49.39404308962913,29.628,30,0,1,1,0
2021,641598,1.582,46.78549317513511,32.518,27,0,1,1,0
2021,641598,1.506,53.91771820203805,25.259,29.8,1,0,1,0
2021,641598,1.504,48.74991605946503,28.396,30,0,1,1,0
2021,641680,1.5,48.40101050263596,30.993,27.4,0,1,1,0
2021,641680,1.541,46.576987082365484,32.065,27,0,1,1,0
2021,641680,1.476,44.41355059422101,34.465,27.5,0,1,1,0
2021,642336,NA,47.61985096883527,31.845,28.5,0,1,0,0
2021,642336,1.64,54.862921751417716,26.14,28.2,1,0,1,0
2021,642851,1.491,47.75000843688915,30.7,28.9,0,1,1,0
2021,643376,NA,40.26013742395244,38.588,27.6,0,1,0,0
2021,643376,NA,46.97576966880823,31.705,27.2,0,1,0,0
2021,643376,NA,47.49782740243972,33.314,27.9,0,1,0,0
2021,643376,1.519,53.82249669211644,25.73,27.5,1,0,1,0
2021,644433,NA,50.70796660725071,26.864,28.3,0,1,0,0
2021,656180,1.459,51.027287414074934,27.935,28.4,0,1,1,0
2021,656180,NA,46.070349676749736,32.813,28.6,0,1,0,0
2021,656577,NA,40.76747354599241,35.967,28.1,0,1,0,0
2021,656577,NA,46.002737002075264,30.975,28.1,0,1,0,0
2021,660688,1.64,53.957963812407684,25.026,28.6,0,1,1,0
2021,660688,1.653,53.504654192786965,24.968,29.9,1,0,1,0
2021,661388,1.575,44.627203242926285,33.719,28.1,0,1,1,0
2021,661388,NA,49.54306143036977,29.255,28,0,1,0,0
2021,663728,NA,50.379758944589334,28.92,27.8,0,1,0,0
2021,663728,NA,55.90352392003311,27.619,28.6,0,1,0,0
2021,663886,NA,48.48194949959215,30.811,28.3,0,1,0,0
2021,663886,1.627,52.77830654690786,27.452,28.4,1,0,1,0
2021,663886,NA,63.832855037810816,20.272,27.4,0,1,0,0
2021,665861,1.56,53.82399558796375,28.684,26.4,1,0,1,0
2021,666163,1.465,47.99315843042667,30.23,28.7,1,0,1,0
2021,666163,1.487,38.53413496985417,38.495,30,0,1,1,0
2021,668663,NA,44.48142049943111,33.113,27.9,0,1,0,0
2021,668663,NA,44.032465664597815,33.087,30.1,0,1,0,0
2021,668800,1.503,48.689626605012315,30.942,28.8,0,1,1,0
2021,668800,1.533,44.791263672967034,33.183,28.7,0,1,1,0
2021,669221,NA,45.15815908298859,33.062,28.7,0,1,0,0
2021,669221,NA,41.300962893138696,39.309,26.1,0,1,0,0
2021,669221,1.331,46.8736128823148,31.889,27.9,1,0,1,0
2021,669221,NA,42.76501088445059,36.194,27.3,0,1,0,0
2021,669221,NA,50.640106138001855,28.435,28.8,0,1,0,0
2021,669221,1.407,49.219380867764045,28.984,28.1,1,0,1,0
2021,669221,1.392,47.73670652435569,29.852,28.3,0,1,1,0
2021,669257,NA,38.871093021139764,40.447,27.9,0,1,0,0
2021,669257,1.43,40.76229471178012,38.669,28.8,0,1,1,0
