season,runner_id,catcher_id,pop_time,pop_n,sprint_speed,caught
2021,544725,672386,1.94,15,28.4,0
2021,641857,660688,2.09,6,26.2,0
2022,660670,657709,2.08,21,28.5,0
2022,605141,543592,2.01,36,27.4,0
2022,680757,643376,1.98,22,28.4,0
2022,596059,642336,1.95,24,27.1,0
2022,592144,663698,1.97,22,30.0,0
2022,621563,605131,2.06,17,27.3,0
2022,668731,521692,1.99,18,28.9,1
2022,641355,543592,2.01,36,28.1,0
2022,622761,571466,1.99,38,30.1,0
2022,645302,663743,1.93,23,28.8,0
2023,621493,669127,1.9,68,28.0,0
2023,664913,681351,2.09,20,27.3,0
2023,686823,624512,1.98,21,28.3,0
2023,662139,624512,1.98,21,28.1,0
2023,668804,543510,2.01,25,27.8,0
2023,670042,672386,1.98,48,28.8,0
2023,668800,571912,1.93,36,25.9,0
2023,663853,543309,1.98,43,29.3,0
2023,670623,592663,1.83,50,26.1,0
2023,673490,595453,1.99,18,28.5,0
2023,677951,657136,1.92,60,30.5,0
2023,661388,665804,1.98,17,26.5,0
2023,670042,672386,1.98,48,28.8,0
2023,669222,672275,1.87,51,28.3,0
2023,666139,663743,2.01,44,28.7,0
2023,666624,672515,1.9,33,28.6,0
2024,663697,682626,1.92,37,28.0,0
2024,657041,673237,1.97,73,29.3,0
2024,668952,665561,1.87,6,27.5,0
2024,500743,608348,1.97,51,25.8,0
2024,687401,660688,2.06,57,28.7,1
2024,643565,680777,1.93,40,27.2,0
2024,672279,571912,1.97,27,28.3,0
2024,661388,620443,1.87,19,26.4,0
2025,691718,543309,2.03,45,29.5,0
2025,593428,696100,1.95,45,27.6,0
2025,666149,669224,1.97,42,29.6,0
