team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,2,top,-8,2,0.020897093274322986,0.023858172980532832,-0.002961079706209846,KEEP
away,2,top,-7,0,0.05554260938341404,0.06041994831753528,-0.004877338934121234,KEEP
away,2,top,-7,1,0.04295403298759337,0.04778816133241337,-0.004834128344819999,KEEP
away,2,top,-7,2,0.034170197055853,0.038685812115654916,-0.004515615059801914,KEEP
away,2,top,-6,0,0.0846313703698377,0.09117693067256571,-0.006545560302728015,KEEP
away,2,top,-6,1,0.06704787824760094,0.07389812203772639,-0.006850243790125443,KEEP
away,2,top,-6,2,0.05450528877114602,0.06116448558568477,-0.006659196814538748,KEEP
away,2,top,-5,0,0.1254332248144363,0.13381962825478189,-0.00838640344034558,KEEP
away,2,top,-5,1,0.10185789690722791,0.11118035079322408,-0.009322453885996174,KEEP
away,2,top,-5,2,0.08465791563203195,0.094110624720213365,-0.00945270908818141,KEEP
away,2,top,-4,0,0.18037847313825472,0.1905672865664153,-0.010188813428160581,KEEP
away,2,top,-4,1,0.15022154655104347,0.16233410411972737,-0.012112557568683902,KEEP
away,2,top,-4,2,0.12771150613245208,0.14055155658041307,-0.012840050447960993,KEEP
away,2,top,-3,0,0.25097855657244095,0.26262296066805924,-0.011644404095618288,KEEP
away,2,top,-3,1,0.21444752208060713,0.22936421562705522,-0.01491669354644809,KEEP
away,2,top,-3,2,0.1865514748277337,0.20311702132670506,-0.01656554649897135,KEEP
away,2,top,-2,0,0.33688697163157166,0.3492947971063527,-0.012407825474781031,KEEP
away,2,top,-2,1,0.29535912071934667,0.3126138121102423,-0.017254691390895638,KEEP
away,2,top,-2,2,0.2629417683644001,0.283041437385122,-0.02009966902072191,KEEP
away,2,top,-1,0,0.4349573118636364,0.4472120805835419,-0.012254768719905496,KEEP
away,2,top,-1,1,0.39111120035043223,0.4096970373968739,-0.018585837046441678,KEEP
away,2,top,-1,2,0.3562034740890079,0.378888203632086,-0.022684729543078097,KEEP
away,2,top,0,0,0.5388793685441343,0.5501063868088003,-0.011227018264665989,KEEP
away,2,top,0,1,0.4964303443663247,0.5147954071630962,-0.018365062796771525,KEEP
away,2,top,0,2,0.46211902201891575,0.48538307634326816,-0.023264054324352412,KEEP
away,2,top,1,0,0.6397727847144257,0.6493620465234777,-0.009589261809052063,KEEP
away,2,top,1,1,0.6019911331448793,0.6186006528774477,-0.016609519732568412,KEEP
away,2,top,1,2,0.5711205864150104,0.5927107198444315,-0.021590133429421066,KEEP
away,2,top,2,0,0.7297526862290631,0.7374751333594086,-0.007722447130345533,KEEP
away,2,top,2,1,0.6983328978034729,0.7123320797443354,-0.013999181940862582,KEEP
away,2,top,2,2,0.6724493468963083,0.6910013049992682,-0.018551958102959842,KEEP
away,2,top,3,0,0.8046949636441234,0.8106050676168147,-0.005910103972691316,KEEP
away,2,top,3,1,0.7800296373126748,0.7911438081685297,-0.011114170855854866,KEEP
away,2,top,3,2,0.759580729436296,0.7745295660961176,-0.014948836659821607,KEEP
away,2,top,4,0,0.8635959063731211,0.8679234366384729,-0.00432753026535182,KEEP
away,2,top,4,1,0.8451620668826488,0.8535481021548613,-0.008386035272212489,KEEP
away,2,top,4,2,0.8298020496784009,0.8412141432694866,-0.011412093591085748,KEEP
away,2,top,5,0,0.907657178890701,0.9107062370983876,-0.003049058207686639,KEEP
away,2,top,5,1,0.8944514571024793,0.9005081968088378,-0.006056739706358449,KEEP
away,2,top,5,2,0.883403185672594,0.8917231789770985,-0.008319993304504503,KEEP
away,2,top,6,0,0.9392455720625533,0.9413233391292157,-0.002077767066662406,KEEP
away,2,top,6,1,0.9301248902374973,0.9343367675828177,-0.004211877345320358,KEEP
away,2,top,6,2,0.9224700640993513,0.9282996711216086,-0.0058296070222573215,KEEP
away,2,top,7,0,0.961075071440233,0.9624518425597999,-0.0013767711195669108,KEEP
